archetype,deck,list_id,source,date,event,pilot,camp,category,confidence,regime,origin,verifier,verdict,reason,verifier_reason
blink,Esper Blink,modern-challenge-16-2026-09-0512853780#UomoComune26490,mtgo,2026-09-05,Modern Challenge 16,UomoComune26490,esper,hybrid,medium,post,both,keep,exclude: Vial taxes deck,"Post-ban: Aether Vial 4, Tidehollow Sculler 4, Spell Queller 2, Skyclave Apparition, Wasteland Strangler, Charming Prince, Ulamog's Nullifier and Accursed Marauder with Thoughtseize and Fatal Push out of the mainboard is an Esper Vial taxes shell on the blink core, the only Esper list on Vial, and the same pilot's May list 3720 is stock Esper Blink; one list in 573 distorts nothing, so it is kept on identity alone.",
oswald,UW Oswald,modern-league-2026-08-2710983#chinotron23,mtgo,2026-08-27,Modern League,chinotron23,,different-deck,high,post,both,keep,exclude: Kappa artifact deck,"Post-ban Kappa/Pinnacle/Krang artifact deck (4 Kappa Cannoneer, 4 Pinnacle Emissary, 4 Welding Jar, 4 Tormod's Crypt, 2 Krang, Master Mind) with 2 Oswald and a one-of Station/Skateboard/Cam bolted on, no Loki, Tamiyo or mainboard Rebuke; the same pilot's 10691 nine days later is the identical deck with Oswald and Station cut, which settles it as a different deck.",
oswald,UW Oswald,modern-league-2026-09-0410983#chinotron23,mtgo,2026-09-04,Modern League,chinotron23,,different-deck,high,post,both,keep,exclude: Kappa artifact deck,"Post-ban sibling of 22362: 4 Kappa Cannoneer, 4 Pinnacle Emissary, 4 Welding Jar, 4 Tormod's Crypt, 1 Krang, Master Mind, Fiery Islet and Steam Vents, with 2 Oswald and 1 Grinding Station, no Loki; lowest core_share in the population and the pilot's next list (10691) drops Oswald and Station entirely.",
zoo,Domain Zoo,,mtgo,2026-02-02,Modern Challenge 32,soggymeatball,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting with Frog as the discard outlet, Kavu and Scion as domain bodies, no Ragavan, Bolt or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-02,Modern Challenge 32,ItBurnsWhenICast,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Fatal Push, no Ragavan, Bolt or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-13,Modern League,nahuel10,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Glasspool Mimic, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-14,Modern Challenge 32,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Victimize and Fatal Push, no Ragavan, Bolt or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-22,Modern Challenge 32,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-23,Modern Challenge 32,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-02-28,Modern Challenge 64,D00mwake,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-01,Modern Showcase Challenge,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-02,Modern Challenge 32,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-02,Modern League,MKC,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-05,Modern Challenge 64,MKC,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-07,Modern Challenge 64,Zolazar,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-08,Modern League,Thehowlingmine1,pre/traditional,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator without Frog, sitting in the traditional camp: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Emperor of Bones, 4 Faithless Looting, 3 Faithful Mending, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-03-17,Modern League,Katla,pre/traditional,different-deck,high,pre,both,keep,exclude: five-colour Living End,"Pre-ban five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, 3 Overlord of the Balemurk, Generous Ent, Oliphaunt and Incubation on 16 lands, Kavu and Scion as the cascade-proof beaters, no Ragavan or Bolt.",
zoo,Domain Zoo,,mtgo,2026-03-20,Modern League,SknerusMcKwacz,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 3 Emperor of Bones, 4 Faithless Looting, Tainted Indulgence, Leyline Binding cut to 1, no Ragavan.",
zoo,Domain Zoo,,mtgo,2026-03-23,Modern League,SknerusMcKwacz,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Emperor of Bones, 3 Aurora Awakener, 4 Faithless Looting, Unmarked Grave, no mainboard Leyline Binding and no Ragavan.",
zoo,Domain Zoo,,mtgo,2026-03-27,Modern League,Sonkerz,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Faithless Looting, 3 Invasion of Amonkhet as the extra discard outlet, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-04-03,Modern League,MagicAlex1408,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,,mtgo,2026-04-08,Modern League,Katla,pre/traditional,different-deck,high,pre,both,keep,exclude: five-colour Living End,"Pre-ban five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, Generous Ent, Oliphaunt and Overlord of the Balemurk on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,,mtgo,2026-04-21,Modern Challenge 32,Scooby_Snacks,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 3 Emperor of Bones, 4 Faithless Looting, Leyline Binding cut to 2, no Ragavan.",
zoo,Domain Zoo,,mtgo,2026-04-21,Modern League,Dinces,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator, the same 75 as Scooby_Snacks 2999: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 3 Emperor of Bones, 4 Faithless Looting, no Ragavan.",
zoo,Domain Zoo,,mtgo,2026-04-25,Modern Challenge 32,ItBurnsWhenICast,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, 3 Spell Pierce, no Ragavan or Bolt.",
zoo,Domain Zoo,,mtgo,2026-05-15,Modern League,Alexch,pre/frog,different-deck,high,pre,both,keep,exclude: Persist is its own deck,"Pre-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Summoning Trap, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,modern-league-2026-05-1910628#Katla,mtgo,2026-05-19,Modern League,Katla,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, 4 Overlord of the Balemurk, Generous Ent and Oliphaunt on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-challenge-32-2026-05-3112843420#Poily,mtgo,2026-05-31,Modern Challenge 32,Poily,post/frog,different-deck,high,post,both,keep,exclude: Persist is its own deck,"Post-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,modern-league-2026-06-0610628#THEFALLEN11,mtgo,2026-06-06,Modern League,THEFALLEN11,post/traditional,different-deck,high,post,both,keep,exclude: Persist is its own deck,"Post-ban Persist reanimator without Frog, sitting in the tracked traditional camp: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Emperor of Bones, 4 Faithless Looting, 3 Faithful Mending, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,modern-rc-super-qualifier-2026-06-0712843920#Katla,mtgo,2026-06-07,Modern RC Super Qualifier,Katla,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, 4 Overlord of the Balemurk, Generous Ent and Oliphaunt on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-league-2026-06-0910628#TheRealestDeal,mtgo,2026-06-09,Modern League,TheRealestDeal,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Katla's five-colour Living End card for card: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, 4 Overlord of the Balemurk, Generous Ent and Oliphaunt on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-league-2026-06-1410628#ecoeon,mtgo,2026-06-14,Modern League,ecoeon,post/frog,different-deck,high,post,both,keep,exclude: Persist is its own deck,"Post-ban Persist reanimator: 4 Persist, 4 Archon of Cruelty, 4 Aurora Awakener, 4 Faithless Looting, Emperor of Bones, no Ragavan or Stubborn Denial.",
zoo,Domain Zoo,melee:b67b6c7b-4a85-40f9-9308-b4af0046646f,melee,2026-08-29,Spotlight Brisbane,gyurme,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Registered by the pilot as W-U-B-R-G Living End and it is Katla's build: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, 4 Overlord of the Balemurk, Generous Ent and Oliphaunt beside Kavu and Scion, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-league-2026-08-3110983#Katla,mtgo,2026-08-31,Modern League,Katla,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, Generous Ent, Oliphaunt, 3 Glassdust Hulk and Incubation on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-league-2026-09-1110983#Katla,mtgo,2026-09-11,Modern League,Katla,post/traditional,different-deck,high,post,both,keep,exclude: five-colour Living End,"Five-colour Living End: 3 Living End, 4 Bloodbraid Marauder, 4 Malevolent Rumble, Generous Ent, Oliphaunt, 3 Solitude and Eladamri's Call on 16 lands, no Ragavan or Bolt.",
zoo,Domain Zoo,modern-league-2026-05-2610628#dack_fayden07#2,mtgo,2026-05-26,Modern League,dack_fayden07,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"Five-colour energy: the full Boros Energy signature (4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment) plus 4 Galvanic Discharge in place of Bolt, Riddler and Stubborn Denial, over Kavu, Scion, both Leylines and 3 Ragavan; it fails Boros Energy's colour rule so lands only here, and would put five energy four-ofs at about a tenth of the tracked camp's opening fortnight bins.",
zoo,Domain Zoo,modern-league-2026-05-2910628#Joy1,mtgo,2026-05-29,Modern League,Joy1,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The same five-colour energy mainboard as 16780: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt, Riddler or mainboard Stubborn Denial.",
zoo,Domain Zoo,modern-league-2026-05-3010628#DaftendirektMTG,mtgo,2026-05-30,Modern League,DaftendirektMTG,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The same five-colour energy mainboard as 16780: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt, Riddler or mainboard Stubborn Denial.",
zoo,Domain Zoo,modern-challenge-32-2026-05-3112843416#mchlpp,mtgo,2026-05-31,Modern Challenge 32,mchlpp,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The same five-colour energy mainboard as 16780: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt, Riddler or mainboard Stubborn Denial.",
zoo,Domain Zoo,modern-league-2026-06-0410628#CliffBoyardee,mtgo,2026-06-04,Modern League,CliffBoyardee,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The five-colour energy list with a Mountain for the Blood Crypt: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt, Riddler or mainboard Stubborn Denial.",
zoo,Domain Zoo,modern-league-2026-06-0410628#taldoitalo,mtgo,2026-06-04,Modern League,taldoitalo,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The five-colour energy list with a Mountain for the Blood Crypt, the same 75 as 17388: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt or Riddler.",
zoo,Domain Zoo,modern-challenge-32-2026-06-0612843794#stefansson30952,mtgo,2026-06-06,Modern Challenge 32,stefansson30952,post/traditional,hybrid,medium,post,both,keep,exclude: energy engine is a different deck,"The five-colour energy list with a Mountain for the Blood Crypt: 4 Guide of Souls, 4 Ocelot Pride, 4 Ajani, 3 Goblin Bombardment, 4 Galvanic Discharge over the Kavu and Scion shell, no Bolt or Riddler.",
broodscale,Broodscale,,mtgo,2026-02-25,Modern League,RandomGameActions,mono-green,different-deck,high,pre,both,keep,exclude: Yawgmoth or Cauldron deck without the Eldrazi shell,"Pre-ban Golgari Yawgmoth toolbox: Yawgmoth, Grist, Green Sun's Zenith 3, Dryad Arbor, Young Wolf 3, Agatha's Soul Cauldron 4, Badgermole Cub 3 and Overgrown Tomb, with no Eldrazi Temple, Kozilek's Command, Fleshraker, Stirrings or Emrakul and Blade cut to 2; both passes agree and I concur.",
broodscale,Broodscale,,mtgo,2026-03-02,Modern Challenge 32,Bmadman,mono-green,different-deck,high,pre,both,keep,exclude: Yawgmoth or Cauldron deck without the Eldrazi shell,"Pre-ban Golgari Yawgmoth: Yawgmoth, Grist 4, Young Wolf 4, Agatha's Soul Cauldron 4, Dredger's Insight 3, Wall of Roots 2 and Overgrown Tomb 3, with no Eldrazi Temple, Kozilek's Command, Fleshraker or Emrakul and only 2 Blade of the Bloodchief; both passes agree.",
broodscale,Broodscale,,mtgo,2026-05-13,Modern League,ArsonBjork,mono-green,different-deck,high,pre,both,keep,exclude: Yawgmoth or Cauldron deck without the Eldrazi shell,"Pre-ban Golgari Cauldron combo on Agatha's Soul Cauldron 4, Young Wolf 4, Walking Ballista 4, Invasion of Ikoria 4, Spymaster's Vault, Ignoble Hierarch and Overgrown Tomb, with none of Eldrazi Temple, Kozilek's Command, Fleshraker, Stirrings or Emrakul, so Broodscale and Blade are one combo inside a different shell; both passes agree.",
broodscale,Broodscale,melee:c3ee884a-3f6f-4428-b084-b4b400aa7508,melee,2026-08-29,Spotlight Brisbane,Dimmer,mono-green,different-deck,high,post,both,keep,exclude: Yawgmoth or Cauldron deck without the Eldrazi shell,"Post-ban Golgari Yawgmoth by the pilot's own name, and the board agrees: Yawgmoth, Grist 3, Young Wolf 4, Agatha's Soul Cauldron 4, Dredger's Insight 3, Tezzeret and Overgrown Tomb 3, with no Eldrazi Temple or Kozilek's Command; both passes agree.",
broodscale,Broodscale,,mtgo,2026-03-08,Modern Challenge 32,VenerableLammasu,mono-green,hybrid,medium,pre,prior,drop,"exclude: hybrid brew, out for now","Pre-ban Karn Forge artifact hybrid: Karn, the Great Creator 4, Mox Opal 4, Mystic Forge 2, Darksteel Citadel 4, Mishra's Bauble 4, with no Malevolent Rumble or Emrakul.","Prior-only hybrid that I drop: pre-ban, the combo and shell are whole (Basking Broodscale 4, Blade 3, Glaring Fleshraker 4, Eldrazi Temple 4, Kozilek's Command 4, Ancient Stirrings 4, Urza's Saga 4, Grove 4) and the Karn 4, Mox Opal 4, Darksteel Citadel 4, Mystic Forge 2 package that replaces Rumble and Emrakul combines Karn, which five untouched Lab lists run as a four-of, with the Opal and Citadel mana that untouched 12235 and 15897 run."
broodscale,Broodscale,,mtgo,2026-03-08,Modern League,VenerableLammasu,mono-green,hybrid,medium,pre,prior,drop,"exclude: hybrid brew, out for now","Same pre-ban Karn Forge 75 as 1541 (Karn 4, Mox Opal 4, Mystic Forge 2, Darksteel Citadel 4), published from the league the same day.","Prior-only hybrid that I drop: the same pre-ban 75 as 1541 (Karn 4, Mox Opal 4, Darksteel Citadel 4, Mystic Forge 2 over the full Temple, Command, Fleshraker, Stirrings, Saga shell with Broodscale 4 and Blade 3) published from the league the same day, and it stands or falls with 1541."
broodscale,Broodscale,,mtgo,2026-03-16,Modern League,Jack-Z,mono-green,hybrid,low,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban Golgari list on the intact shell that also carries the Yawgmoth package Grist 3, Agatha's Soul Cauldron 3, Dredger's Insight 2 and Formidable Speaker 2.","Pre-ban Golgari Broodscale on the full Eldrazi Temple, Kozilek's Command, Fleshraker, Saga, Rumble and Emrakul shell whose only graft is Grist 3, Agatha's Soul Cauldron 3 and Dredger's Insight 2, no Young Wolf or Yawgmoth, so it is a card-advantage package inside the same engine; both passes rated it low and I drop it."
broodscale,Broodscale,,mtgo,2026-04-06,Modern League,Bloodmoons_Rise,mono-green,hybrid,medium,pre,both,drop,"exclude: hybrid brew, out for now","Pre-ban Golgari sacrifice hybrid: Agatha's Soul Cauldron 3, Young Wolf 4, Super Shredder 4, Sephiroth 2 and Phyrexian Tower beside the Temple, Command, Fleshraker shell, with no Urza's Saga.","Both passes called it a hybrid but I drop it: pre-ban, with the combo and shell at full copies (Basking Broodscale 4, Blade 4, Glaring Fleshraker 4, Eldrazi Temple 4, Kozilek's Command 4, Malevolent Rumble 4) and the Super Shredder 4, Sephiroth 2, Young Wolf 4, Cauldron 3 sacrifice package being the same Golgari build as its untouched sibling 14281 a day later and the Sephiroth lists that include the Challenge 64 winner 8557."
broodscale,Broodscale,modern-challenge-64-2026-07-3112849451#Univerce,mtgo,2026-07-31,Modern Challenge 64,Univerce,mono-green,hybrid,medium,post,both,drop,"exclude: hybrid brew, out for now","The full Temple, Command, Stirrings shell carrying the Yawgmoth-style Agatha's Soul Cauldron 4, Young Wolf 3, Wall of Roots 3, Dredger's Insight 2 and Walking Ballista 4 engine, with Blade of the Bloodchief cut to 2.","Both passes called it a hybrid but I drop it: the post-ban shell is intact (Eldrazi Temple 4, Kozilek's Command 4, Ancient Stirrings 4, Urza's Saga 4, Malevolent Rumble 4, Emrakul) with no Yawgmoth or Grist, and Agatha's Soul Cauldron 4 with Young Wolf 3, Wall of Roots 3 and Walking Ballista 4 is a redundancy package for the Broodscale combo, Cauldron already sitting in 17 Temple lists (RespectTheDog, Tinker_deck, Jack-Z) that nobody moved."
affinity,Affinity,modern-challenge-64-2026-09-0512853688#GinkoHS,mtgo,2026-09-05,Modern Challenge 64,GinkoHS,,hybrid,high,post,both,keep,exclude: hybrid brew on the Song engine,"Post-ban list running the full Song of Creation engine (4 Song of Creation, 4 Emry, 3 Mox Amber, 2 Tamiyo, Breeding Pool, Misty Rainforest, Flooded Strand) beside 4 Kappa Cannoneer, 4 Pinnacle Emissary and 4 Explosives with Manufacturing trimmed to 2 and Claws to 1; GinkoHS's own cluster confirms it (11085 is a pure Song list, 22780 the day before is Song plus Cannoneer and Emissary with no Manufacturing, unclassified), and the 47 unclassified Song lists hold 0 Claws, 1 Manufacturing and 1 Cannoneer between them, so both passes are right to keep it.",
